ID,Company Name,Slug,Website,HQ / Primary Office,Country / Region,Regulatory / License Notes,FluidRWA Segment,Services Offered,Asset Classes / Use Cases,Digital Asset / Tokenization Signal,Best For,Investor Types Served,Geographic Coverage,Likely Minimum Deal Size,FluidRWA Priority,Criteria Met,Verification Status,Suggested Listing Description,Source URLs,Codex Add?,Manual Notes
11,Entoro Securities,entoro-securities,https://www.entoro.com,"Houston, TX",United States,US broker-dealer,Capital Raising / Investment Bank,"Private placements, energy, technology, digital assets, capital raising","Private equity, private credit, real estate, infrastructure, corporate finance, debt/equity offerings",Has digital asset and tokenization relevance,Alternative asset issuers and energy/tokenization projects,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,High,regulated/licensed capital markets entity; relevant to private markets/RWA distribution; high buyer-fit for FluidRWA,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Entoro Securities is a capital raising / investment bank candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for alternative asset issuers and energy/tokenization projects, with services including private placements, energy, technology, digital assets, capital raising.",https://www.entoro.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
12,Finalis Securities,finalis-securities,https://www.finalis.com,"San Francisco, CA",United States,US broker-dealer platform,Capital Raising / Investment Bank,"Broker-dealer platform for investment bankers, private placements, M&A","Private equity, private credit, real estate, infrastructure, corporate finance, debt/equity offerings",Enables capital markets deal teams,Boutique investment bankers and private placement teams,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,Medium,regulated/licensed capital markets entity; relevant to private markets/RWA distribution,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Finalis Securities is a capital raising / investment bank candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for boutique investment bankers and private placement teams, with services including broker-dealer platform for investment bankers, private placements, m&a.",https://www.finalis.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
13,Boustead Securities,boustead-securities,https://www.boustead1828.com,"Irvine, CA",United States,US broker-dealer / investment bank,Capital Raising / Investment Bank,"Investment banking, IPOs, private placements, Reg A, cross-border listings","Private equity, private credit, real estate, infrastructure, corporate finance, debt/equity offerings",Capital raising and securities offerings,Growth companies and cross-border issuers,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,Medium,regulated/licensed capital markets entity; relevant to private markets/RWA distribution,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Boustead Securities is a capital raising / investment bank candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for growth companies and cross-border issuers, with services including investment banking, ipos, private placements, reg a, cross-border listings.",https://www.boustead1828.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
14,Aegis Capital,aegis-capital,https://www.aegiscapcorp.com,"New York, NY",United States,US broker-dealer / investment bank,Capital Raising / Investment Bank,"Investment banking, private placements, public offerings, trading","Private equity, private credit, real estate, infrastructure, corporate finance, debt/equity offerings",Capital markets distribution,Small/mid-cap issuers seeking public or private capital,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,Medium,regulated/licensed capital markets entity; relevant to private markets/RWA distribution,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Aegis Capital is a capital raising / investment bank candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for small/mid-cap issuers seeking public or private capital, with services including investment banking, private placements, public offerings, trading.",https://www.aegiscapcorp.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
15,WestPark Capital,westpark-capital,https://www.wpcapital.com,"Los Angeles, CA",United States,US broker-dealer / investment bank,Capital Raising / Investment Bank,"Investment banking, IPOs, private placements, M&A, advisory","Private equity, private credit, real estate, infrastructure, corporate finance, debt/equity offerings",Cross-border and growth company capital markets,Emerging growth companies,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,Medium,regulated/licensed capital markets entity; relevant to private markets/RWA distribution,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"WestPark Capital is a capital raising / investment bank candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for emerging growth companies, with services including investment banking, ipos, private placements, m&a, advisory.",https://www.wpcapital.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
16,Network 1 Financial Securities,network-1-financial-securities,https://www.netw1.com,"Red Bank, NJ",United States,US broker-dealer / investment bank,Capital Raising / Investment Bank,"Investment banking, private placements, IPOs, trading","Private equity, private credit, real estate, infrastructure, corporate finance, debt/equity offerings",Capital markets access for smaller issuers,Small-cap and growth issuers,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,Medium,regulated/licensed capital markets entity; relevant to private markets/RWA distribution,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Network 1 Financial Securities is a capital raising / investment bank candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for small-cap and growth issuers, with services including investment banking, private placements, ipos, trading.",https://www.netw1.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
17,Dinosaur Financial Group,dinosaur-financial-group,https://www.dinosaurgroup.com,"New York, NY",United States,US broker-dealer,Capital Markets / Trading,"Fixed income, equities, investment banking, capital markets","Private securities, funds, alternatives, capital markets, real-world assets where applicable",Institutional brokerage and capital markets,Institutional trading and capital markets,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,Medium,regulated/licensed capital markets entity,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Dinosaur Financial Group is a capital markets / trading candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for institutional trading and capital markets, with services including fixed income, equities, investment banking, capital markets.",https://www.dinosaurgroup.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
18,StoneX Financial,stonex-financial,https://www.stonex.com,"New York, NY",United States,US broker-dealer / FCM ecosystem,Institutional Trading,"Institutional execution, clearing, commodities, FX, securities","Private securities, funds, alternatives, capital markets, real-world assets where applicable",Institutional distribution and trading infrastructure,"Commodity-linked RWA, treasury and institutional trading","Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,Medium,regulated/licensed capital markets entity,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"StoneX Financial is a institutional trading candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for commodity-linked rwa, treasury and institutional trading, with services including institutional execution, clearing, commodities, fx, securities.",https://www.stonex.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
19,Clear Street,clear-street,https://clearstreet.io,"New York, NY",United States,US broker-dealer / prime brokerage,Institutional Trading,"Prime brokerage, clearing, execution, capital markets technology","Private securities, funds, alternatives, capital markets, real-world assets where applicable",Modern broker-dealer infrastructure,"Institutional trading, fintech and alternative investment platforms","Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,Medium,regulated/licensed capital markets entity,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Clear Street is a institutional trading candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for institutional trading, fintech and alternative investment platforms, with services including prime brokerage, clearing, execution, capital markets technology.",https://clearstreet.io | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
20,DriveWealth,drivewealth,https://drivewealth.com,"Jersey City, NJ",United States,US broker-dealer,Embedded Brokerage,"Brokerage infrastructure, fractional shares, embedded investing APIs","Public securities, alternatives, advisory products, private placements where approved","Digital brokerage infrastructure, not RWA-specific",Fintechs needing embedded brokerage rails,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,Medium,regulated/licensed capital markets entity,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"DriveWealth is a embedded brokerage candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for fintechs needing embedded brokerage rails, with services including brokerage infrastructure, fractional shares, embedded investing apis.",https://drivewealth.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
21,iCapital,icapital,https://icapital.com,"New York, NY",United States,Alternative investment platform with broker-dealer entities,Alternative Investments Platform,"Alternative investment access, advisor platform, funds, structured investments","Private securities, funds, alternatives, capital markets, real-world assets where applicable",Strong private markets distribution relevance,Asset managers distributing alternatives to wealth channels,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,High,regulated/licensed capital markets entity; relevant to private markets/RWA distribution; high buyer-fit for FluidRWA,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"iCapital is a alternative investments platform candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for asset managers distributing alternatives to wealth channels, with services including alternative investment access, advisor platform, funds, structured investments.",https://icapital.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
22,CAIS,cais,https://www.caisgroup.com,"New York, NY",United States,Alternative investment platform with broker-dealer relationships,Alternative Investments Platform,"Alternative investments marketplace, advisor education, fund distribution","Private securities, funds, alternatives, capital markets, real-world assets where applicable",Strong private markets distribution relevance,Alternative asset managers and wealth advisors,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,High,regulated/licensed capital markets entity; relevant to private markets/RWA distribution; high buyer-fit for FluidRWA,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"CAIS is a alternative investments platform candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for alternative asset managers and wealth advisors, with services including alternative investments marketplace, advisor education, fund distribution.",https://www.caisgroup.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
23,Yieldstreet,yieldstreet,https://www.yieldstreet.com,"New York, NY",United States,Alternative investments platform / securities offering ecosystem,Alternative Investments Platform,"Private credit, real estate, art, structured notes, alternatives","Private securities, funds, alternatives, capital markets, real-world assets where applicable",RWA-aligned alternative investments,Alternative asset sponsors and individual accredited investors,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,Medium,regulated/licensed capital markets entity; relevant to private markets/RWA distribution,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Yieldstreet is a alternative investments platform candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for alternative asset sponsors and individual accredited investors, with services including private credit, real estate, art, structured notes, alternatives.",https://www.yieldstreet.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
24,RealBlocks,realblocks,https://www.realblocks.com,"New York, NY",United States,Alternative investment technology platform,Alternative Investments Platform,"Fund distribution technology, investor onboarding, subscriptions, alternatives","Private securities, funds, alternatives, capital markets, real-world assets where applicable",Tokenization/fund distribution adjacent,Private funds seeking digital distribution,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,Medium,relevant to private markets/RWA distribution,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"RealBlocks is a alternative investments platform candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for private funds seeking digital distribution, with services including fund distribution technology, investor onboarding, subscriptions, alternatives.",https://www.realblocks.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
25,Mercury Capital Advisors,mercury-capital-advisors,https://www.mercurycapital.com,"New York, NY",United States,Placement agent / broker-dealer ecosystem,Placement Agent,"Private fund placement, capital raising, institutional investor access","Private equity, private credit, real estate, infrastructure, corporate finance, debt/equity offerings",Strong institutional distribution relevance,Private funds seeking institutional LPs,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,High,regulated/licensed capital markets entity; relevant to private markets/RWA distribution; high buyer-fit for FluidRWA,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Mercury Capital Advisors is a placement agent candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for private funds seeking institutional lps, with services including private fund placement, capital raising, institutional investor access.",https://www.mercurycapital.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
26,Campbell Lutyens,campbell-lutyens,https://www.campbell-lutyens.com,London,United Kingdom,Regulated private capital adviser / placement agent,Placement Agent,"Private equity, private credit, infrastructure fundraising and secondaries","Private equity, private credit, real estate, infrastructure, corporate finance, debt/equity offerings",Private markets distribution,Private capital fund managers,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United Kingdom,Not publicly standardized; verify with firm,High,regulated/licensed capital markets entity; relevant to private markets/RWA distribution; high buyer-fit for FluidRWA,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Campbell Lutyens is a placement agent candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for private capital fund managers, with services including private equity, private credit, infrastructure fundraising and secondaries.",https://www.campbell-lutyens.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
27,Evercore Private Funds Group,evercore-private-funds-group,https://www.evercore.com,"New York, NY",United States,Investment banking / private funds advisory,Placement Agent,"Private fund placement, secondary advisory, capital advisory","Private equity, private credit, real estate, infrastructure, corporate finance, debt/equity offerings",Private fund distribution relevance,GPs raising private funds,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,High,relevant to private markets/RWA distribution; high buyer-fit for FluidRWA,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Evercore Private Funds Group is a placement agent candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for gps raising private funds, with services including private fund placement, secondary advisory, capital advisory.",https://www.evercore.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
28,Lazard Private Capital Advisory,lazard-private-capital-advisory,https://www.lazard.com,"New York, NY",United States,Investment bank / capital advisory,Placement Agent,"Private capital advisory, fund placement, secondary advisory","Private equity, private credit, real estate, infrastructure, corporate finance, debt/equity offerings",Institutional investor distribution,Private market managers,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,High,relevant to private markets/RWA distribution; high buyer-fit for FluidRWA,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Lazard Private Capital Advisory is a placement agent candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for private market managers, with services including private capital advisory, fund placement, secondary advisory.",https://www.lazard.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
